,LGA_NAME,ACCIDENT_Year,Amount
262,MONASH,2015,421
263,MONASH,2016,386
264,MONASH,2017,335
265,MONASH,2018,302
266,MOONEE VALLEY,2014,250
267,MOONEE VALLEY,2015,219
268,MOONEE VALLEY,2016,247
269,MOONEE VALLEY,2017,162
270,MOONEE VALLEY,2018,194
271,MOORABOOL,2014,95
272,MOORABOOL,2015,101
273,MOORABOOL,2016,106
274,MOORABOOL,2017,68
275,MOORABOOL,2018,80
276,MORELAND,2014,407
277,MORELAND,2015,424
278,MORELAND,2016,402
279,MORELAND,2017,345
280,MORELAND,2018,356
281,MORNINGTON PENINSULA,2014,267
282,MORNINGTON PENINSULA,2015,292
283,MORNINGTON PENINSULA,2016,289
284,MORNINGTON PENINSULA,2017,230
285,MORNINGTON PENINSULA,2018,219
286,MOUNT ALEXANDER,2014,51
287,MOUNT ALEXANDER,2015,52
288,MOUNT ALEXANDER,2016,40
289,MOUNT ALEXANDER,2017,33
290,MOUNT ALEXANDER,2018,30
291,MOYNE,2014,51
292,MOYNE,2015,51
293,MOYNE,2016,42
294,MOYNE,2017,46
295,MOYNE,2018,44
296,MURRINDINDI,2014,129
297,MURRINDINDI,2015,112
298,MURRINDINDI,2016,124
299,MURRINDINDI,2017,104
300,MURRINDINDI,2018,67
301,NILLUMBIK,2014,125
302,NILLUMBIK,2015,129
303,NILLUMBIK,2016,132
304,NILLUMBIK,2017,108
305,NILLUMBIK,2018,108
306,NORTHERN GRAMPIANS,2014,28
307,NORTHERN GRAMPIANS,2015,40
308,NORTHERN GRAMPIANS,2016,40
309,NORTHERN GRAMPIANS,2017,35
310,NORTHERN GRAMPIANS,2018,31
311,PORT PHILLIP,2014,302
312,PORT PHILLIP,2015,297
313,PORT PHILLIP,2016,276
314,PORT PHILLIP,2017,246
315,PORT PHILLIP,2018,216
316,PYRENEES,2014,35
317,PYRENEES,2015,30
318,PYRENEES,2016,30
319,PYRENEES,2017,24
320,PYRENEES,2018,21
321,QUEENSCLIFFE,2014,1
322,QUEENSCLIFFE,2016,2
323,QUEENSCLIFFE,2017,2
324,QUEENSCLIFFE,2018,1
325,SHEPPARTON,2014,164
326,SHEPPARTON,2015,154
327,SHEPPARTON,2016,188
328,SHEPPARTON,2017,144
329,SHEPPARTON,2018,119
330,SOUTH GIPPSLAND,2014,97
331,SOUTH GIPPSLAND,2015,93
332,SOUTH GIPPSLAND,2016,117
333,SOUTH GIPPSLAND,2017,75
334,SOUTH GIPPSLAND,2018,76
335,SOUTHERN GRAMPIANS,2014,33
336,SOUTHERN GRAMPIANS,2015,38
337,SOUTHERN GRAMPIANS,2016,30
338,SOUTHERN GRAMPIANS,2017,34
339,SOUTHERN GRAMPIANS,2018,29
340,STONNINGTON,2014,344
341,STONNINGTON,2015,316
342,STONNINGTON,2016,287
343,STONNINGTON,2017,251
344,STONNINGTON,2018,220
345,STRATHBOGIE,2014,36
346,STRATHBOGIE,2015,52
347,STRATHBOGIE,2016,39
348,STRATHBOGIE,2017,43
349,STRATHBOGIE,2018,36
350,SURF COAST,2014,95
351,SURF COAST,2015,86
352,SURF COAST,2016,89
353,SURF COAST,2017,67
354,SURF COAST,2018,78
355,SWAN HILL,2014,53
356,SWAN HILL,2015,45
357,SWAN HILL,2016,58
358,SWAN HILL,2017,35
359,SWAN HILL,2018,30
360,TOWONG,2014,37
361,TOWONG,2015,35
362,TOWONG,2016,33
363,TOWONG,2017,24
364,TOWONG,2018,31
365,WANGARATTA,2014,70
366,WANGARATTA,2015,48
367,WANGARATTA,2016,71
368,WANGARATTA,2017,63
369,WANGARATTA,2018,61
370,WARRNAMBOOL,2014,51
371,WARRNAMBOOL,2015,52
372,WARRNAMBOOL,2016,75
373,WARRNAMBOOL,2017,60
374,WARRNAMBOOL,2018,39
375,WELLINGTON,2014,140
376,WELLINGTON,2015,142
377,WELLINGTON,2016,115
378,WELLINGTON,2017,105
379,WELLINGTON,2018,96
380,WEST WIMMERA,2014,12
381,WEST WIMMERA,2015,8
382,WEST WIMMERA,2016,14
383,WEST WIMMERA,2017,11
384,WEST WIMMERA,2018,9
385,WHITEHORSE,2014,298
386,WHITEHORSE,2015,282
387,WHITEHORSE,2016,282
388,WHITEHORSE,2017,252
389,WHITEHORSE,2018,232
390,WHITTLESEA,2014,374
391,WHITTLESEA,2015,395
392,WHITTLESEA,2016,431
393,WHITTLESEA,2017,325
394,WHITTLESEA,2018,320
395,WODONGA,2014,58
396,WODONGA,2015,58
397,WODONGA,2016,65
398,WODONGA,2017,50
399,WODONGA,2018,46
400,WYNDHAM,2014,352
401,WYNDHAM,2015,292
402,WYNDHAM,2016,280
403,WYNDHAM,2017,268
404,WYNDHAM,2018,251
405,YARRA,2014,336
406,YARRA,2015,331
407,YARRA,2016,355
408,YARRA,2017,302
409,YARRA,2018,274
410,YARRA RANGES,2014,422
411,YARRA RANGES,2015,448
412,YARRA RANGES,2016,414
413,YARRA RANGES,2017,364
414,YARRA RANGES,2018,282
415,YARRIAMBIACK,2014,6
416,YARRIAMBIACK,2015,15
417,YARRIAMBIACK,2016,11
418,YARRIAMBIACK,2017,8
419,YARRIAMBIACK,2018,8
